ID,Met_topic,Met_vehicle,Eng_item,Metaphor,Simile,Lit_topic/vehicle,LengthTopic,Eng_conventionality,Eng_aptness,Eng_aptness_label,LengthVehicle,FrequencyTopic,FrequencyVehicle,ConcretenessTopic,ConcretenessVehicle,Familiarity,Difficulty,Imageability,Metaphoricity,SemanticDistance,N°interpretations,Strength,resources,Metaphor_log_likelihood_norm,Simile_log_likelihood_norm,Simile_come_cloze_surprisal,source_llm,Metaphor_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_log_likelihood_norm__sapienzanlp_Minerva_350M_base_v1_0,Simile_come_cloze_surprisal__sapienzanlp_Minerva_350M_base_v1_0,source_llm__sapienzanlp_Minerva_350M_base_v1_0
146,modella,acciuga,That fashion model is a rail.,Quella modella è un'acciuga.,Quella modella è come un'acciuga.,,,4.21,5.3,High,,,,,,,,,,,,,Jones and Estes (2006),-4.472222222222222,-4.275,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-4.333333333333333,-4.15,6.71875,sapienzanlp/Minerva-350M-base-v1.0
147,calciatore,acciuga,That football player is a rail.,Quel calciatore è un'acciuga.,Quel calciatore è come un'acciuga.,,,4.21,2.28,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.15625,-4.777777777777778,7.875,sapienzanlp/Minerva-1B-base-v1.0,-5.3125,-4.75,6.6875,sapienzanlp/Minerva-350M-base-v1.0
148,alcol,stampella,Alcohol is a crutch.,L'alcol è una stampella.,L'alcol è come una stampella.,,,4.36,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),-4.28125,-3.75,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-4.15625,-3.6666666666666665,6.9375,sapienzanlp/Minerva-350M-base-v1.0
149,pizza,stampella,Pizza is a crutch.,La pizza è una stampella.,La pizza è come una stampella.,,,4.36,2.33,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.25,-4.3125,7.15625,sapienzanlp/Minerva-1B-base-v1.0,-4.714285714285714,-3.796875,6.875,sapienzanlp/Minerva-350M-base-v1.0
150,ballerini,farfalle,Dancers can be butterflies.,I ballerini sono farfalle.,I ballerini sono come farfalle.,,,4.39,4.66,High,,,,,,,,,,,,,Jones and Estes (2006),-4.375,-3.9444444444444446,6.5,sapienzanlp/Minerva-1B-base-v1.0,-4.125,-4.0,6.75,sapienzanlp/Minerva-350M-base-v1.0
151,calciatori,farfalle,Soccer players can be butterflies.,I calciatori sono farfalle.,I calciatori sono come farfalle.,,,4.39,2.64,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.678571428571429,-4.0,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-4.535714285714286,-4.375,6.6875,sapienzanlp/Minerva-350M-base-v1.0
152,disciplina,fertilizzante,Discipline is fertilizer.,La disciplina è un fertilizzante.,La disciplina è come un fertilizzante.,,,4.61,3.38,High,,,,,,,,,,,,,Jones and Estes (2006),-5.642857142857143,-5.03125,7.6875,sapienzanlp/Minerva-1B-base-v1.0,-5.428571428571429,-4.8125,6.9375,sapienzanlp/Minerva-350M-base-v1.0
153,controllo,fertilizzante,Control is fertilizer.,Il controllo è un fertilizzante.,Il controllo è come un fertilizzante.,,,4.61,2.73,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.964285714285714,-4.53125,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-5.178571428571429,-4.1875,7.0625,sapienzanlp/Minerva-350M-base-v1.0
154,albero,ombrello,A tree is an umbrella.,Un albero è un ombrello.,Un albero è come un ombrello.,,,4.61,4.21,High,,,,,,,,,,,,,Jones and Estes (2006),-4.428571428571429,-3.953125,6.53125,sapienzanlp/Minerva-1B-base-v1.0,-4.303571428571429,-3.734375,6.625,sapienzanlp/Minerva-350M-base-v1.0
155,rivista,ombrello,A magazine is an umbrella.,Una rivista è un ombrello.,Una rivista è come un ombrello.,,,4.61,2.15,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.964285714285714,-4.15625,7.3125,sapienzanlp/Minerva-1B-base-v1.0,-4.964285714285714,-4.3125,6.625,sapienzanlp/Minerva-350M-base-v1.0
156,amore,fiore,Love is a flower.,L'amore è un fiore.,L'amore è come un fiore.,,,4.64,5.34,High,,,,,,,,,,,,,Jones and Estes (2006),-3.142857142857143,-2.859375,6.6875,sapienzanlp/Minerva-1B-base-v1.0,-3.3035714285714284,-2.703125,6.375,sapienzanlp/Minerva-350M-base-v1.0
157,odio,fiore,Hatred is a flower.,L'odio è un fiore.,L'odio è come un fiore.,,,4.64,1.85,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.928571428571429,-3.625,7.25,sapienzanlp/Minerva-1B-base-v1.0,-4.178571428571429,-3.484375,7.125,sapienzanlp/Minerva-350M-base-v1.0
158,voci,sirene,Some voices are sirens.,Alcune voci sono sirene.,Alcune voci sono come sirene.,,,4.64,5.0,High,,,,,,,,,,,,,Jones and Estes (2006),-6.166666666666667,-5.571428571428571,6.6875,sapienzanlp/Minerva-1B-base-v1.0,-6.083333333333333,-5.428571428571429,6.625,sapienzanlp/Minerva-350M-base-v1.0
159,russamenti,sirene,Some snores are sirens.,Alcuni russamenti sono sirene.,Alcuni russamenti sono come sirene.,,,4.64,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006),-6.0625,-5.055555555555555,6.34375,sapienzanlp/Minerva-1B-base-v1.0,-5.84375,-5.25,6.5625,sapienzanlp/Minerva-350M-base-v1.0
160,receptionist,boccata d'aria fresca,That receptionist is a breath of fresh air.,Quella receptionist è una boccata d'aria fresca.,Quella receptionist è come una boccata d'aria fresca.,,,4.7,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),-3.7708333333333335,-3.6538461538461537,6.625,sapienzanlp/Minerva-1B-base-v1.0,-3.6041666666666665,-3.326923076923077,6.6875,sapienzanlp/Minerva-350M-base-v1.0
161,contabile,boccata d'aria fresca,That accountant is a breath of fresh air.,Quel contabile è una boccata d'aria fresca.,Quel contabile è come una boccata d'aria fresca.,,,4.7,3.38,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.625,-3.5576923076923075,6.65625,sapienzanlp/Minerva-1B-base-v1.0,-3.6875,-3.5961538461538463,6.6875,sapienzanlp/Minerva-350M-base-v1.0
162,migliore amico,ancora,A best friend is an anchor.,Un migliore amico è un'ancora.,Un migliore amico è come un'ancora.,,,4.79,6.07,High,,,,,,,,,,,,,Jones and Estes (2006),-4.027777777777778,-3.65,6.5,sapienzanlp/Minerva-1B-base-v1.0,-4.166666666666667,-3.825,5.3125,sapienzanlp/Minerva-350M-base-v1.0
163,avversario,ancora,An opponent is an anchor.,Un avversario è un'ancora.,Un avversario è come un'ancora.,,,4.79,2.94,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.4375,-4.083333333333333,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.4375,-4.138888888888889,6.09375,sapienzanlp/Minerva-350M-base-v1.0
164,matrimonio,guinzaglio corto,His marriage was a short leash.,Il suo matrimonio era un guinzaglio corto.,Il suo matrimonio era come un guinzaglio corto.,,,4.79,4.0,High,,,,,,,,,,,,,Jones and Estes (2006),-4.35,-4.409090909090909,6.25,sapienzanlp/Minerva-1B-base-v1.0,-5.075,-4.7272727272727275,6.375,sapienzanlp/Minerva-350M-base-v1.0
165,ufficio,guinzaglio corto,His office was a short leash.,Il suo ufficio era un guinzaglio corto.,Il suo ufficio era come un guinzaglio corto.,,,4.79,2.52,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.7,-4.545454545454546,6.125,sapienzanlp/Minerva-1B-base-v1.0,-4.725,-4.590909090909091,6.625,sapienzanlp/Minerva-350M-base-v1.0
166,folla esultante,tuono,The cheering crowd was thunder.,La folla esultante era un tuono.,La folla esultante era come un tuono.,,,4.79,5.39,High,,,,,,,,,,,,,Jones and Estes (2006),-4.55,-3.954545454545455,6.59375,sapienzanlp/Minerva-1B-base-v1.0,-4.375,-3.9318181818181817,7.21875,sapienzanlp/Minerva-350M-base-v1.0
167,giocatore di basket,tuono,The basketball player was thunder.,Il giocatore di basket era un tuono.,Il giocatore di basket era come un tuono.,,,4.79,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.083333333333333,-4.45,6.4375,sapienzanlp/Minerva-1B-base-v1.0,-4.972222222222222,-4.5,6.8125,sapienzanlp/Minerva-350M-base-v1.0
168,Grandi Pianure,tavoliere,The Great Plains are a board.,Le Grandi Pianure sono un tavoliere.,Le Grandi Pianure sono come un tavoliere.,,,4.82,2.76,High,,,,,,,,,,,,,Jones and Estes (2006),-5.055555555555555,-4.85,7.875,sapienzanlp/Minerva-1B-base-v1.0,-5.444444444444445,-4.8,7.3125,sapienzanlp/Minerva-350M-base-v1.0
169,spiagge costiere,tavoliere,The coastal beaches are a board.,Le spiagge costiere sono un tavoliere.,Le spiagge costiere sono come un tavoliere.,,,4.82,1.9,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.333333333333333,-5.0,7.5625,sapienzanlp/Minerva-1B-base-v1.0,-5.472222222222222,-4.725,7.6875,sapienzanlp/Minerva-350M-base-v1.0
170,laurea,porta d'accesso,A college degree is a doorway.,Una laurea è una porta d'accesso.,Una laurea è come una porta d'accesso.,,,4.94,6.07,High,,,,,,,,,,,,,Jones and Estes (2006),-3.8333333333333335,-3.7,6.625,sapienzanlp/Minerva-1B-base-v1.0,-4.055555555555555,-3.65,6.65625,sapienzanlp/Minerva-350M-base-v1.0
171,completamento di un corso,porta d'accesso,A course completion is a doorway.,Il completamento di un corso è una porta d'accesso.,Il completamento di un corso è come una porta d'accesso.,,,4.94,4.24,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.7708333333333335,-3.576923076923077,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-3.7291666666666665,-3.6923076923076925,6.78125,sapienzanlp/Minerva-350M-base-v1.0
172,sorrisi,magneti,Some smiles are magnets.,Alcuni sorrisi sono magneti.,Alcuni sorrisi sono come magneti.,,,4.94,5.39,High,,,,,,,,,,,,,Jones and Estes (2006),-5.928571428571429,-5.03125,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-5.321428571428571,-4.90625,6.4375,sapienzanlp/Minerva-350M-base-v1.0
173,lacrime,magneti,Some tears are magnets.,Alcune lacrime sono magneti.,Alcune lacrime sono come magneti.,,,4.94,3.0,Low,,,,,,,,,,,,,Jones and Estes (2006),-7.25,-5.821428571428571,6.59375,sapienzanlp/Minerva-1B-base-v1.0,-7.125,-6.035714285714286,6.625,sapienzanlp/Minerva-350M-base-v1.0
174,giovane cugino,gamberetto,My young cousin is a shrimp.,Il mio giovane cugino è un gamberetto.,Il mio giovane cugino è come un gamberetto.,,,5.03,4.85,High,,,,,,,,,,,,,Jones and Estes (2006),-3.886363636363636,-3.9583333333333335,5.875,sapienzanlp/Minerva-1B-base-v1.0,-3.977272727272727,-3.7291666666666665,6.4375,sapienzanlp/Minerva-350M-base-v1.0
175,padre,gamberetto,My father is a shrimp.,Mio padre è un gamberetto.,Mio padre è come un gamberetto.,,,5.03,3.52,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.96875,-4.083333333333333,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-3.984375,-3.611111111111111,6.3125,sapienzanlp/Minerva-350M-base-v1.0
176,maggiordomi,asini,Butlers can be donkeys.,I maggiordomi sono asini.,I maggiordomi sono come asini.,,,5.06,2.64,High,,,,,,,,,,,,,Jones and Estes (2006),-4.125,-4.111111111111111,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-4.5,-4.333333333333333,6.53125,sapienzanlp/Minerva-350M-base-v1.0
177,nonni,asini,Grandparents can be donkeys.,I nonni sono asini.,I nonni sono come asini.,,,5.06,1.79,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.8125,-4.428571428571429,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-5.0,-4.303571428571429,5.84375,sapienzanlp/Minerva-350M-base-v1.0
178,modelle,ramoscelli,Some fashion models are twigs.,Alcune modelle sono ramoscelli.,Alcune modelle sono come ramoscelli.,,,5.06,6.15,High,,,,,,,,,,,,,Jones and Estes (2006),-5.375,-5.055555555555555,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-6.4375,-5.333333333333333,6.8125,sapienzanlp/Minerva-350M-base-v1.0
179,nuotatori,ramoscelli,Some swimmers are twigs.,Alcuni nuotatori sono ramoscelli.,Alcuni nuotatori sono come ramoscelli.,,,5.06,3.24,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.138888888888889,-4.75,7.59375,sapienzanlp/Minerva-1B-base-v1.0,-5.361111111111111,-5.0,7.15625,sapienzanlp/Minerva-350M-base-v1.0
180,amore,viaggio,Love is a journey.,L'amore è un viaggio.,L'amore è come un viaggio.,,,5.09,6.48,High,,,,,,,,,,,,,Jones and Estes (2006),-2.9107142857142856,-2.8125,6.84375,sapienzanlp/Minerva-1B-base-v1.0,-2.9464285714285716,-2.90625,6.34375,sapienzanlp/Minerva-350M-base-v1.0
181,sogno,viaggio,A dream is a journey.,Un sogno è un viaggio.,Un sogno è come un viaggio.,,,5.09,5.69,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.229166666666667,-4.375,7.1875,sapienzanlp/Minerva-1B-base-v1.0,-4.229166666666667,-3.9107142857142856,6.0,sapienzanlp/Minerva-350M-base-v1.0
182,donna incinta,anatra,That pregnant woman is a duck.,Quella donna incinta è un'anatra.,Quella donna incinta è come un'anatra.,,,5.21,2.82,High,,,,,,,,,,,,,Jones and Estes (2006),-4.194444444444445,-4.125,6.71875,sapienzanlp/Minerva-1B-base-v1.0,-4.361111111111111,-4.25,6.3125,sapienzanlp/Minerva-350M-base-v1.0
183,professore,anatra,That professor is a duck.,Quel professore è un'anatra.,Quel professore è come un'anatra.,,,5.21,2.0,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.625,-4.416666666666667,6.5625,sapienzanlp/Minerva-1B-base-v1.0,-4.5625,-4.361111111111111,6.8125,sapienzanlp/Minerva-350M-base-v1.0
184,cani,principesse,Some dogs are princesses.,Alcuni cani sono principesse.,Alcuni cani sono come principesse.,,,5.27,4.33,High,,,,,,,,,,,,,Jones and Estes (2006),-5.666666666666667,-5.071428571428571,7.09375,sapienzanlp/Minerva-1B-base-v1.0,-5.791666666666667,-5.285714285714286,6.5625,sapienzanlp/Minerva-350M-base-v1.0
185,criceti,principesse,Some hamsters are princesses.,Alcuni criceti sono principesse.,Alcuni criceti sono come principesse.,,,5.27,1.97,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.03125,-4.722222222222222,6.5,sapienzanlp/Minerva-1B-base-v1.0,-4.78125,-4.527777777777778,6.625,sapienzanlp/Minerva-350M-base-v1.0
186,pelo del gatto,seta,My cat's fur is silk.,Il pelo del mio gatto è seta.,Il pelo del mio gatto è come seta.,,,5.3,4.88,High,,,,,,,,,,,,,Jones and Estes (2006),-4.444444444444445,-4.025,6.25,sapienzanlp/Minerva-1B-base-v1.0,-4.083333333333333,-4.15,6.96875,sapienzanlp/Minerva-350M-base-v1.0
187,pelo del topo,seta,My rat's fur is silk.,Il pelo del mio topo è seta.,Il pelo del mio topo è come seta.,,,5.3,2.76,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.55,-4.159090909090909,6.0,sapienzanlp/Minerva-1B-base-v1.0,-4.025,-4.045454545454546,7.0625,sapienzanlp/Minerva-350M-base-v1.0
188,libri,scrigni del tesoro,Books are treasure chests.,I libri sono scrigni del tesoro.,I libri sono come scrigni del tesoro.,,,5.3,5.66,High,,,,,,,,,,,,,Jones and Estes (2006),-4.083333333333333,-3.95,7.15625,sapienzanlp/Minerva-1B-base-v1.0,-3.7222222222222223,-3.55,6.03125,sapienzanlp/Minerva-350M-base-v1.0
189,tabloid,scrigni del tesoro,Tabloids are treasure chests.,I tabloid sono scrigni del tesoro.,I tabloid sono come scrigni del tesoro.,,,5.3,2.67,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.340909090909091,-3.7708333333333335,7.375,sapienzanlp/Minerva-1B-base-v1.0,-4.0227272727272725,-3.5208333333333335,6.625,sapienzanlp/Minerva-350M-base-v1.0
190,corridori,ghepardi,Some runners are cheetahs.,Alcuni corridori sono ghepardi.,Alcuni corridori sono come ghepardi.,,,5.45,5.64,High,,,,,,,,,,,,,Jones and Estes (2006),-4.694444444444445,-4.225,7.0625,sapienzanlp/Minerva-1B-base-v1.0,-4.222222222222222,-4.0,7.125,sapienzanlp/Minerva-350M-base-v1.0
191,pattinatori,ghepardi,Some skaters are cheetahs.,Alcuni pattinatori sono ghepardi.,Alcuni pattinatori sono come ghepardi.,,,5.45,2.62,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.4,-4.113636363636363,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-4.35,-4.181818181818182,7.3125,sapienzanlp/Minerva-350M-base-v1.0
192,lavori,prigioni,Many jobs are jails.,Molti lavori sono prigioni.,Molti lavori sono come prigioni.,,,5.48,4.88,High,,,,,,,,,,,,,Jones and Estes (2006),-7.75,-6.458333333333333,7.25,sapienzanlp/Minerva-1B-base-v1.0,-7.25,-6.625,6.53125,sapienzanlp/Minerva-350M-base-v1.0
193,squadre,prigioni,Many teams are jails.,Molte squadre sono prigioni.,Molte squadre sono come prigioni.,,,5.48,1.93,Low,,,,,,,,,,,,,Jones and Estes (2006),-8.1,-7.0,6.9375,sapienzanlp/Minerva-1B-base-v1.0,-6.9,-6.541666666666667,6.6875,sapienzanlp/Minerva-350M-base-v1.0
194,tempo,denaro,Time is money.,Il tempo è denaro.,Il tempo è come denaro.,,,5.52,5.88,High,,,,,,,,,,,,,Jones and Estes (2006),-3.7,-4.604166666666667,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-3.325,-5.0625,5.625,sapienzanlp/Minerva-350M-base-v1.0
195,conoscenza,denaro,Knowledge is money.,La conoscenza è denaro.,La conoscenza è come denaro.,,,5.52,5.0,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.25,-5.416666666666667,7.3125,sapienzanlp/Minerva-1B-base-v1.0,-5.5,-5.5,5.875,sapienzanlp/Minerva-350M-base-v1.0
196,pianeta Terra,palla,The planet Earth is a ball.,Il pianeta Terra è una palla.,Il pianeta Terra è come una palla.,,,5.55,4.61,High,,,,,,,,,,,,,Jones and Estes (2006),-4.160714285714286,-4.0625,7.375,sapienzanlp/Minerva-1B-base-v1.0,-4.142857142857143,-3.84375,6.84375,sapienzanlp/Minerva-350M-base-v1.0
197,stella,palla,The nearest star is a ball.,La stella più vicina è una palla.,La stella più vicina è come una palla.,,,5.55,2.45,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.40625,-4.361111111111111,6.65625,sapienzanlp/Minerva-1B-base-v1.0,-4.40625,-4.388888888888889,6.375,sapienzanlp/Minerva-350M-base-v1.0
198,uccelli,aerei,Birds are airplanes.,Gli uccelli sono aerei.,Gli uccelli sono come aerei.,,,5.61,3.7,High,,,,,,,,,,,,,Jones and Estes (2006),-6.2,-5.875,6.5,sapienzanlp/Minerva-1B-base-v1.0,-5.85,-5.416666666666667,6.1875,sapienzanlp/Minerva-350M-base-v1.0
199,pipistrelli,aerei,Bats are airplanes.,I pipistrelli sono aerei.,I pipistrelli sono come aerei.,,,5.61,2.14,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.678571428571429,-4.875,6.8125,sapienzanlp/Minerva-1B-base-v1.0,-4.571428571428571,-4.46875,7.0,sapienzanlp/Minerva-350M-base-v1.0
200,idee,diamanti,Ideas can be diamonds.,Le idee sono diamanti.,Le idee sono come diamanti.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006),-4.8125,-4.035714285714286,6.75,sapienzanlp/Minerva-1B-base-v1.0,-4.75,-4.017857142857143,5.9375,sapienzanlp/Minerva-350M-base-v1.0
201,recensioni,diamanti,Reviews can be diamonds.,Le recensioni sono diamanti.,Le recensioni sono come diamanti.,,,5.73,3.91,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.041666666666667,-4.571428571428571,6.59375,sapienzanlp/Minerva-1B-base-v1.0,-4.958333333333333,-4.607142857142857,6.0,sapienzanlp/Minerva-350M-base-v1.0
202,rabbia,vulcano,Anger is a volcano.,La rabbia è un vulcano.,La rabbia è come un vulcano.,,,5.73,5.62,High,,,,,,,,,,,,,Jones and Estes (2006),-3.607142857142857,-3.328125,6.90625,sapienzanlp/Minerva-1B-base-v1.0,-4.285714285714286,-3.796875,6.875,sapienzanlp/Minerva-350M-base-v1.0
203,tristezza,vulcano,Sadness is a volcano.,La tristezza è un vulcano.,La tristezza è come un vulcano.,,,5.73,3.76,Low,,,,,,,,,,,,,Jones and Estes (2006),-3.46875,-3.138888888888889,7.03125,sapienzanlp/Minerva-1B-base-v1.0,-4.34375,-3.7222222222222223,6.625,sapienzanlp/Minerva-350M-base-v1.0
204,senatore,fossile,The senator is a fossil.,Il senatore è un fossile.,Il senatore è come un fossile.,,,5.76,4.52,High,,,,,,,,,,,,,Jones and Estes (2006),-4.892857142857143,-4.78125,7.46875,sapienzanlp/Minerva-1B-base-v1.0,-5.0,-4.65625,6.625,sapienzanlp/Minerva-350M-base-v1.0
205,campione di atletica,fossile,The track star is a fossil.,Il campione di atletica è un fossile.,Il campione di atletica è come un fossile.,,,5.76,2.24,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.0,-3.954545454545455,7.375,sapienzanlp/Minerva-1B-base-v1.0,-4.125,-3.840909090909091,6.6875,sapienzanlp/Minerva-350M-base-v1.0
206,braccia del ragazzo,acciaio,My boyfriend's arms are steel.,Le braccia del mio ragazzo sono acciaio.,Le braccia del mio ragazzo sono come acciaio.,,,5.76,5.36,High,,,,,,,,,,,,,Jones and Estes (2006),-5.4375,-4.75,5.75,sapienzanlp/Minerva-1B-base-v1.0,-5.34375,-4.833333333333333,6.6875,sapienzanlp/Minerva-350M-base-v1.0
207,gambe del nonno,acciaio,My grandfather's legs are steel.,Le gambe di mio nonno sono acciaio.,Le gambe di mio nonno sono come acciaio.,,,5.76,3.45,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.21875,-4.75,6.59375,sapienzanlp/Minerva-1B-base-v1.0,-5.3125,-4.805555555555555,6.8125,sapienzanlp/Minerva-350M-base-v1.0
208,camera da letto,discarica,That bedroom is a dump.,Quella camera da letto è una discarica.,Quella camera come da letto è una discarica.,,,5.82,5.52,High,,,,,,,,,,,,,Jones and Estes (2006),-4.388888888888889,-6.1,6.71875,sapienzanlp/Minerva-1B-base-v1.0,-4.027777777777778,-5.6,6.0625,sapienzanlp/Minerva-350M-base-v1.0
209,sala conferenze,discarica,That conference room is a dump.,Quella sala conferenze è una discarica.,Quella sala conferenze è come una discarica.,,,5.82,4.79,Low,,,,,,,,,,,,,Jones and Estes (2006),-5.21875,-4.805555555555555,7.6875,sapienzanlp/Minerva-1B-base-v1.0,-4.8125,-4.5,6.46875,sapienzanlp/Minerva-350M-base-v1.0
210,memoria,magazzino,Memory is a warehouse.,La memoria è un magazzino.,La memoria è come un magazzino.,,,5.85,5.52,High,,,,,,,,,,,,,Jones and Estes (2006),-4.166666666666667,-4.017857142857143,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-4.791666666666667,-4.303571428571429,6.5,sapienzanlp/Minerva-350M-base-v1.0
211,intelligenza,magazzino,Intelligence is a warehouse.,L'intelligenza è un magazzino.,L'intelligenza è come un magazzino.,,,5.85,3.38,Low,,,,,,,,,,,,,Jones and Estes (2006),-4.178571428571429,-4.03125,7.34375,sapienzanlp/Minerva-1B-base-v1.0,-4.321428571428571,-3.890625,6.625,sapienzanlp/Minerva-350M-base-v1.0
